Gene,Value
ASAP1,543.88275
ASAP2,69.29043
ASAP3,45.709379999999996
ASB1,42.149503333333335
ASB10,16.963626666666666
ASB11,33.15081
ASB12,53.38314333333333
ASB13,192.41415
ASB14,17.523789999999998
ASB15,17.76701
ASB16,48.49587
ASB16-AS1,92.72229
ASB17,0.00432
ASB2,64.83021
ASB4,16.553721666666664
ASB5,17.37864
ASB6,37.893074999999996
ASB7,63.373284999999996
ASB8,155.51467
ASB9,21.25643
ASCC1,41.167914999999994
ASCC2,1311.0151
ASCC3,60.39711
ASCL1,14.767949999999999
ASCL2,43.15051
ASCL3,56.15157
ASCL5,21.60429
ASF1A,141.85655
ASF1B,96.6697
ASGR1,23.26241
ASGR2,73.67596
ASH1L,290.00025
ASH2L,240.0733
ASIC1,21.979885
ASIC2,7.49841
ASIC4,38.24934
ASIC5,27.48306
ASIP,5.74623
ASL,87.1564
ASMT,51.39408
ASMTL,141.31122333333334
ASMTL-AS1,693.1945699999999
ASNA1,197.26987
ASNS,33.438714999999995
ASNSD1,310.55394
ASPA,6.102955
ASPDH,8.20104
ASPG,108.92192499999999
ASPH,16.659044444444444
ASPHD1,135.61781000000002
ASPHD2,38.937075
ASPM,16.500159999999997
ASPN,10.944035
ASPRV1,76.57913
ASPSCR1,8.1417
ASRGL1,55.28851
ASS1,12.44259
ASTE1,99.6653
ASTN1,4.39662
ASTN2,10.526286666666667
ASUN,168.39087
ASXL1,85.77415333333333
ASXL2,207.416215
ASXL3,14.9484275
ASZ1,2.14517
ATAD1,108.94708499999999
ATAD2,37.311327500000004
ATAD2B,296.99084999999997
ATAD3A,37.33961666666667
ATAD3B,36.77460666666667
ATAD3C,84.011
ATAD5,5.69393
ATAT1,27.449235
ATCAY,84.76265
ATE1,63.4275925
ATF1,140.10529999999997
ATF2,113.81427333333333
ATF3,80.67827333333334
ATF4,927.87644
ATF5,33.655355
ATF6,193.8822525
ATF6B,24.856975
ATF7,83.49465599999999
ATF7IP,473.179395
ATF7IP2,52.392269999999996
ATG10,12.4790225
ATG101,37.85609
ATG12,210.64315333333332
ATG13,104.61074333333333
ATG14,88.54997
ATG16L1,46.801205
ATG16L2,577.234705
ATG2A,231.61351
ATG2B,52.8555925
ATG3,930.637295
ATG4A,46.25189
ATG4B,73.50291
ATG4C,55.53959
ATG4D,78.73215
ATG5,139.39672666666667
ATG7,29.809602499999997
ATG9A,149.85961
ATG9B,10.923185
ATHL1,46.56055
ATIC,247.84629
ATL1,31.43902
ATL2,53.88375
ATL3,134.10746333333336
ATM,388.6837666666667
ATMIN,102.09859999999999
ATN1,60.310312499999995
ATOH1,15.44341
ATOH7,19.208675
ATOH8,121.53847
ATOX1,54.01743
ATP10A,36.53408666666667
ATP10B,27.63216
ATP10D,139.64566
ATP11A,107.66042166666666
ATP11B,104.82410166666666
ATP11C,55.862114999999996
ATP12A,96.85882
ATP13A1,102.42088
ATP13A2,12.61773
ATP13A3,90.873205
ATP13A4,25.632333333333335
ATP13A5,13.86333
ATP1A1,253.81225
ATP1A2,19.67203
ATP1A3,12.09351
ATP1A4,21.355023333333335
ATP1B1,51.485325
ATP1B2,21.92674
